"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.614747320E1,6.505575038E1,2.560418811E1,3.337797999E1,5.086624298E1,4.263240337E0,3.165883789E2,4.133398555E-1,4.000000000E0,5.932684898E0,3.600000000E1
4.714593981E1,6.505578073E1,2.560411139E1,3.368384042E1,5.117210537E1,4.281240940E0,3.119032288E2,4.178957489E-1,4.000000000E0,5.814891815E0,3.800000000E1
4.813415677E1,6.505580834E1,2.560403960E1,3.355180366E1,5.104007023E1,4.255004883E0,3.118203735E2,4.225891228E-1,4.000000000E0,5.692504883E0,3.900000000E1
4.913784797E1,6.505584365E1,2.560398477E1,3.447618618E1,5.196445786E1,4.278981209E0,3.211845398E2,4.270802904E-1,4.000000000E0,5.532691956E0,3.600000000E1
5.014136262E1,6.505587626E1,2.560392825E1,3.412272722E1,5.161100313E1,4.272869587E0,3.239710083E2,4.309071987E-1,4.000000000E0,5.423077106E0,3.900000000E1
5.114486539E1,6.505590431E1,2.560388097E1,3.367947403E1,5.116775370E1,4.233904839E0,3.251456909E2,4.343592543E-1,4.000000000E0,5.334493160E0,3.700000000E1
5.212939412E1,6.505593025E1,2.560384051E1,3.306777931E1,5.055606272E1,4.191133499E0,3.266821289E2,4.387047175E-1,4.000000000E0,5.283293247E0,3.800000000E1
5.315210212E1,6.505596671E1,2.560380717E1,3.277511346E1,5.026340406E1,4.178277493E0,3.387444763E2,4.427370852E-1,4.000000000E0,5.154971600E0,3.600000000E1
5.412827023E1,6.505599840E1,2.560376537E1,3.254185683E1,5.003015263E1,4.169930458E0,3.326919861E2,4.466450986E-1,4.000000000E0,5.057765961E0,3.700000000E1
5.514518688E1,6.505603101E1,2.560373431E1,3.225579846E1,4.974410059E1,4.174264431E0,3.400565796E2,4.506747950E-1,4.000000000E0,4.944129944E0,3.900000000E1
5.615434588E1,6.505606377E1,2.560369755E1,3.218017082E1,4.966847885E1,4.177493572E0,3.327417908E2,4.549079375E-1,4.000000000E0,4.827519417E0,4.000000000E1
5.714108400E1,6.505610010E1,2.560367060E1,3.197950753E1,4.946782324E1,4.191452503E0,3.420168457E2,4.593167845E-1,4.000000000E0,4.729269981E0,3.700000000E1
5.814904092E1,6.505613579E1,2.560362965E1,3.198177154E1,4.947009362E1,4.210477352E0,3.403393860E2,4.633779673E-1,4.000000000E0,4.630248547E0,3.800000000E1
5.914948023E1,6.505617025E1,2.560360096E1,3.143323228E1,4.892156139E1,4.224166393E0,3.431581421E2,4.675578825E-1,4.000000000E0,4.529623985E0,3.700000000E1
6.015361915E1,6.505620524E1,2.560356837E1,3.143486537E1,4.892320134E1,4.234724045E0,3.394872742E2,4.712427325E-1,4.000000000E0,4.439079762E0,3.700000000E1
6.114763765E1,6.505623739E1,2.560354932E1,3.091355778E1,4.840190094E1,4.233210087E0,3.451523132E2,4.753602630E-1,3.000000000E0,4.340270996E0,3.800000000E1
6.216144569E1,6.505627277E1,2.560352339E1,3.068390944E1,4.817226012E1,4.239043713E0,3.430807800E2,4.793247440E-1,3.000000000E0,4.258084297E0,3.600000000E1
6.315408342E1,6.505630671E1,2.560349750E1,3.037228505E1,4.786064285E1,4.247303486E0,3.435215149E2,4.833258888E-1,3.000000000E0,4.184945107E0,3.500000000E1
6.414196349E1,6.505634110E1,2.560347242E1,3.014567606E1,4.763404117E1,4.257723808E0,3.454596252E2,4.877136997E-1,3.000000000E0,4.129749298E0,3.800000000E1
6.514943368E1,6.505637873E1,2.560344425E1,3.052549701E1,4.801387007E1,4.272836685E0,3.431975708E2,4.920572035E-1,3.000000000E0,4.070751667E0,3.700000000E1
6.615279111E1,6.505641602E1,2.560341662E1,3.021114124E1,4.769952220E1,4.283304214E0,3.436384583E2,4.963733200E-1,3.000000000E0,4.010537624E0,3.500000000E1
6.713849257E1,6.505645167E1,2.560338020E1,3.025583461E1,4.774422230E1,4.293155193E0,3.367677917E2,5.008568056E-1,3.000000000E0,3.963552237E0,3.600000000E1
6.815153253E1,6.505648861E1,2.560334191E1,3.006967284E1,4.755806748E1,4.300837040E0,3.368408508E2,5.052200535E-1,3.000000000E0,3.895416260E0,3.900000000E1
6.914785041E1,6.505652275E1,2.560329604E1,2.992558074E1,4.741398094E1,4.303415775E0,3.307097778E2,5.095286613E-1,3.000000000E0,3.841642380E0,3.700000000E1
7.015627780E1,6.505655611E1,2.560324928E1,2.987144318E1,4.735984867E1,4.304823875E0,3.294603271E2,5.136593378E-1,3.000000000E0,3.788146973E0,3.900000000E1
7.114927822E1,6.505658515E1,2.560319435E1,3.015761573E1,4.764602466E1,4.304058075E0,3.199472961E2,5.179186289E-1,3.000000000E0,3.740092516E0,3.700000000E1
7.215255437E1,6.505661583E1,2.560313999E1,3.029241244E1,4.778082531E1,4.298709869E0,3.238313293E2,5.220991258E-1,3.000000000E0,3.687499762E0,3.800000000E1
7.315362726E1,6.505664558E1,2.560308548E1,3.023114356E1,4.771956011E1,4.275716782E0,3.182888184E2,5.262531041E-1,3.000000000E0,3.644275665E0,3.900000000E1
7.414541733E1,6.505667360E1,2.560302689E1,3.005734682E1,4.754576625E1,4.253633022E0,3.203970032E2,5.303025062E-1,3.000000000E0,3.607818842E0,3.800000000E1
7.513423272E1,6.505670057E1,2.560296885E1,3.009869664E1,4.758711871E1,4.229891300E0,3.203311157E2,5.347941439E-1,3.000000000E0,3.567319632E0,3.500000000E1
7.614627633E1,6.505673121E1,2.560290643E1,2.987335054E1,4.736177590E1,4.212435722E0,3.219687195E2,5.388896475E-1,3.000000000E0,3.512797832E0,3.500000000E1
7.715947691E1,6.505675920E1,2.560284968E1,2.981527616E1,4.730370455E1,4.197614670E0,3.202698059E2,5.429540132E-1,3.000000000E0,3.468186617E0,3.500000000E1
7.815007910E1,6.505678755E1,2.560279497E1,2.949854172E1,4.698697340E1,4.184561729E0,3.226420288E2,5.468005721E-1,3.000000000E0,3.417220831E0,3.700000000E1
7.914957606E1,6.505681437E1,2.560274316E1,2.859647897E1,4.608491376E1,4.165083408E0,3.206674805E2,5.506662248E-1,3.000000000E0,3.375950575E0,3.700000000E1
8.015092140E1,6.505684183E1,2.560269259E1,2.865750919E1,4.614594737E1,4.150129318E0,3.190520935E2,5.550106242E-1,3.000000000E0,3.338746071E0,3.600000000E1
8.113156856E1,6.505687688E1,2.560265167E1,2.867852438E1,4.616696881E1,4.158228874E0,3.315673523E2,5.594749654E-1,3.000000000E0,3.299105167E0,3.900000000E1
8.216768517E1,6.505691124E1,2.560260243E1,2.863793979E1,4.612638960E1,4.182458401E0,3.294570007E2,5.639748545E-1,3.000000000E0,3.258361578E0,3.800000000E1
8.314818436E1,6.505694748E1,2.560255973E1,2.854263604E1,4.603109228E1,4.213611126E0,3.346322632E2,5.684013994E-1,3.000000000E0,3.224776268E0,3.800000000E1
8.413972752E1,6.505698319E1,2.560251801E1,2.857822819E1,4.606669080E1,4.228851795E0,3.361378784E2,5.726070152E-1,3.000000000E0,3.209334612E0,3.700000000E1
8.513675286E1,6.505701877E1,2.560248757E1,2.890746676E1,4.639593662E1,4.224281311E0,3.408252869E2,5.771384079E-1,4.000000000E0,3.223063469E0,3.900000000E1
8.615468486E1,6.505705952E1,2.560248807E1,2.909855207E1,4.658703308E1,4.225237370E0,3.577178650E2,5.813838332E-1,4.000000000E0,3.178785801E0,4.100000000E1
8.713845140E1,6.505709769E1,2.560249002E1,2.929151619E1,4.678000778E1,4.202825069E0,7.778869152E0,5.848996695E-1,4.000000000E0,3.153679371E0,3.900000000E1
8.814097178E1,6.505712812E1,2.560251038E1,2.928278378E1,4.677128531E1,4.123223305E0,2.754894257E1,5.879351185E-1,4.000000000E0,3.150609493E0,3.800000000E1
8.914378994E1,6.505715043E1,2.560254768E1,2.947229054E1,4.696080117E1,4.045687199E0,3.505869675E1,5.923532868E-1,4.000000000E0,3.190243959E0,3.900000000E1
9.015169621E1,6.505717231E1,2.560262634E1,3.070330045E1,4.819182339E1,3.998112917E0,4.375942993E1,5.957101209E-1,4.000000000E0,3.132189989E0,3.800000000E1
9.115234936E1,6.505718920E1,2.560268567E1,3.080701105E1,4.829554340E1,3.943629503E0,4.968301392E1,5.998066189E-1,4.000000000E0,3.105327129E0,3.800000000E1
