"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.370561033E0,-4.847999954E1,-4.020000076E1,-2.198399963E2,2.286831310E2
1.378495604E0,-4.805999756E1,-4.073999786E1,-2.197799988E2,2.286323657E2
1.386491209E0,-4.781999969E1,-4.055999756E1,-2.200199890E2,2.287808151E2
1.394395262E0,-4.757999802E1,-4.073999786E1,-2.198399963E2,2.285896490E2
1.402299314E0,-4.770000076E1,-4.061999893E1,-2.199599915E2,2.287087061E2
1.410264402E0,-4.805999756E1,-4.037999725E1,-2.196599884E2,2.284530981E2
1.418229490E0,-4.787999725E1,-4.043999863E1,-2.195999908E2,2.283682193E2
1.426194578E0,-4.823999786E1,-4.007999802E1,-2.197200012E2,2.284959137E2
1.434068113E0,-4.853999710E1,-4.020000076E1,-2.198399963E2,2.286958578E2
1.442002684E0,-4.836000061E1,-4.020000076E1,-2.201399994E2,2.289461706E2
1.449937254E0,-4.865999985E1,-4.002000046E1,-2.197799988E2,2.286321147E2
1.457841307E0,-4.818000031E1,-4.002000046E1,-2.201999969E2,2.289343826E2
1.465836912E0,-4.781999969E1,-3.965999985E1,-2.205000000E2,2.290849579E2
1.473740965E0,-4.781999969E1,-3.929999924E1,-2.205000000E2,2.290229078E2
1.481706053E0,-4.763999939E1,-3.959999847E1,-2.204400024E2,2.289793093E2
1.489640623E0,-4.770000076E1,-3.936000061E1,-2.200199890E2,2.285460463E2
1.497605711E0,-4.781999969E1,-3.941999817E1,-2.198399963E2,2.284082149E2
1.505570799E0,-4.745999908E1,-3.954000092E1,-2.195399933E2,2.280650605E2
1.513474852E0,-4.787999725E1,-3.959999847E1,-2.194799957E2,2.281055075E2
1.521409422E0,-4.818000031E1,-4.007999802E1,-2.196599884E2,2.284255441E2
1.529343992E0,-4.793999863E1,-4.020000076E1,-2.191799927E2,2.279345360E2
1.537278562E0,-4.823999786E1,-4.007999802E1,-2.192399902E2,2.280343767E2
1.545243650E0,-4.781999969E1,-4.002000046E1,-2.193600006E2,2.280507897E2
1.553147703E0,-4.763999939E1,-3.959999847E1,-2.194799957E2,2.280552520E2
1.561082273E0,-4.745999908E1,-4.002000046E1,-2.195399933E2,2.281487686E2
1.569016844E0,-4.745999908E1,-4.031999969E1,-2.196599884E2,2.283170261E2
1.576981932E0,-4.739999771E1,-4.037999725E1,-2.194199982E2,2.280842817E2
1.584977537E0,-4.739999771E1,-4.104000092E1,-2.194199982E2,2.282020531E2
