"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.819539120E-1,5.994748473E-1,-6.027793884E-1,1.095347881E0,1.386542486E0
6.898884820E-1,5.097351074E-1,-4.755268097E-1,5.977832675E-1,9.183139231E-1
6.977925350E-1,3.735101223E-1,-3.937711716E-1,2.521916628E-1,5.984698671E-1
7.056660700E-1,2.537274361E-2,-2.208728790E-1,-7.783991098E-2,2.355581808E-1
7.136006400E-1,-3.481847048E-1,5.767536163E-2,-2.893306017E-1,4.563674321E-1
7.214741750E-1,-5.094684362E-1,3.219347000E-1,-4.947299361E-1,7.797164538E-1
7.294697810E-1,-6.984195709E-1,6.030302048E-1,-5.489861965E-1,1.073695101E0
7.373738330E-1,-9.992713928E-1,8.340444565E-1,-2.776384950E-1,1.330885647E0
7.452473690E-1,-1.186289549E0,9.790611267E-1,1.814843416E-1,1.548799584E0
7.532429740E-1,-1.224064350E0,1.068734169E0,6.653621197E-1,1.755913724E0
7.611470270E-1,-1.119813204E0,1.126823425E0,7.199875712E-1,1.744160184E0
7.691426320E-1,-9.154633284E-1,1.158152580E0,2.733870149E-1,1.501376357E0
7.769856500E-1,-5.639260411E-1,1.236883163E0,-2.908776104E-1,1.390144713E0
7.848897030E-1,-4.121102691E-1,1.294142723E0,-6.034934521E-1,1.486218224E0
7.928242730E-1,-3.632253408E-1,1.413942337E0,-7.430832982E-1,1.638089854E0
8.006978080E-1,-2.943451405E-1,1.608451843E0,-5.877628922E-1,1.737590749E0
8.087239310E-1,-2.799758911E-1,1.760255814E0,-3.977335393E-1,1.826219866E0
8.165669490E-1,-2.210928798E-1,1.979490280E0,-1.192688644E-1,1.995366857E0
8.245015190E-1,-8.026903868E-2,2.187242508E0,1.422726810E-1,2.193334088E0
8.324360890E-1,-1.453026533E-1,2.366603851E0,4.005033374E-1,2.404647495E0
8.402791070E-1,-4.810757041E-1,2.488986015E0,6.097573042E-1,2.607352908E0
8.482441950E-1,-8.286677003E-1,2.580543518E0,8.777594566E-1,2.848922019E0
8.561482480E-1,-1.135005951E0,2.538176537E0,1.230602980E0,3.040552965E0
8.640217830E-1,-1.355991364E0,2.424123764E0,1.611306548E0,3.211136464E0
8.719563530E-1,-1.492594242E0,2.245501518E0,2.065565109E0,3.396567953E0
8.798298880E-1,-1.467145205E0,2.028541565E0,2.512837887E0,3.547090382E0
8.878560110E-1,-1.008626223E0,1.861689568E0,2.633390188E0,3.379047023E0
8.957295460E-1,-5.683582425E-1,1.687537193E0,2.493307829E0,3.063885899E0
9.036946340E-1,-9.607291222E-2,1.554143906E0,2.264690399E0,2.748347847E0
9.116597220E-1,3.994930983E-1,1.550198555E0,2.095032930E0,2.636640528E0
9.195332570E-1,7.170064449E-1,1.436393738E0,2.096736670E0,2.640763123E0
9.275593800E-1,9.045546055E-1,1.210444450E0,2.302847862E0,2.754360739E0
9.354023980E-1,9.716783762E-1,7.573375702E-1,2.697709084E0,2.965696101E0
9.433064510E-1,1.000682473E0,3.475313187E-1,2.832680464E0,3.024272150E0
9.513020560E-1,9.237420559E-1,-9.572982788E-2,2.840051651E0,2.988035637E0
9.592061090E-1,8.092451096E-1,-4.670772552E-1,3.607163191E0,3.726213238E0
9.672017140E-1,8.008046150E-1,-8.648262024E-1,3.870074749E0,4.045576715E0
9.750752490E-1,4.469450116E-1,-1.152749062E0,3.774963856E0,3.972271687E0
9.829793020E-1,4.655188024E-1,-1.189464569E0,3.274932384E0,3.515212062E0
9.909443900E-1,6.897915006E-1,-1.211980820E0,2.369039297E0,2.749010188E0
9.988484430E-1,1.045803308E0,-1.321376801E0,1.269940138E0,2.110092217E0
1.006844048E0,1.282924175E0,-1.284581184E0,5.630503893E-1,1.900807460E0
1.014717583E0,1.524134874E0,-1.156453133E0,3.274470270E-1,1.941028727E0
1.022621636E0,1.676670313E0,-1.106966019E0,2.245971262E-1,2.021643137E0
1.030586724E0,1.683226466E0,-1.056923866E0,2.812498212E-1,2.007346721E0
1.038460259E0,1.601925373E0,-1.080810547E0,4.737688601E-1,1.989666623E0
1.046486382E0,1.450727582E0,-1.193103790E0,8.905763626E-1,2.078757665E0
1.054359917E0,1.444283009E0,-1.250194550E0,1.386233568E0,2.360208323E0
1.062263970E0,1.293987036E0,-1.290401459E0,1.779893160E0,2.550991579E0
1.070198540E0,1.196569920E0,-1.270679474E0,2.030179501E0,2.677318566E0
1.078072076E0,9.752250910E-1,-1.243715286E0,2.257471085E0,2.755733548E0
1.085976128E0,8.003776073E-1,-1.226257324E0,2.478859425E0,2.879071966E0
1.093849664E0,7.831183672E-1,-1.165685654E0,2.464799881E0,2.836782662E0
1.101723199E0,7.362471223E-1,-1.105126381E0,2.230280161E0,2.595672117E0
1.109657769E0,5.762029886E-1,-1.094859123E0,1.835480213E0,2.213529760E0
1.117561822E0,3.214179277E-1,-1.096530914E0,1.362665176E0,1.778354833E0
1.125618462E0,1.283366084E-1,-1.119687080E0,8.554379940E-1,1.414900564E0
1.133522515E0,1.632843018E-1,-1.140377998E0,5.372220278E-1,1.271114176E0
1.141396050E0,2.654070258E-1,-1.154692650E0,4.232783318E-1,1.258141705E0
1.149330621E0,3.071509302E-1,-1.250758171E0,6.305543184E-1,1.433993182E0
1.157234673E0,3.194616735E-1,-1.342388153E0,1.133409739E0,1.785687361E0
1.165230279E0,4.007605016E-1,-1.434056282E0,1.586898446E0,2.176091238E0
1.173134332E0,5.486828089E-1,-1.487442970E0,1.806775331E0,2.403742189E0
1.181007867E0,5.320027471E-1,-1.450037003E0,1.769984722E0,2.349144557E0
1.188942437E0,5.381482840E-1,-1.309911728E0,1.618692398E0,2.150729502E0
1.196815972E0,6.655984521E-1,-1.158163071E0,1.529528379E0,2.030719100E0
1.204781060E0,8.104906082E-1,-1.123994827E0,1.251554012E0,1.867256502E0
